vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,0.9,0.0,60.81999999999999,61.22,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,1.0,0.0,64.14,62.85,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,1.1,0.0,69.06,68.51,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,4.0,0.9,0.0,67.36,67.09,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,4.0,1.0,0.0,69.58,68.88,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,4.0,1.1,0.0,67.91,68.02,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,5.0,0.9,0.0,60.24,59.66,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,5.0,1.0,0.0,57.60999999999999,56.91,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,5.0,1.1,0.0,66.96,65.75,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,0.9,0.0,60.81999999999999,61.22,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,1.0,0.0,64.14,62.85,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,1.1,0.0,69.06,68.51,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,4.0,0.9,0.0,67.36,67.09,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,4.0,1.0,0.0,69.58,68.88,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,4.0,1.1,0.0,67.91,68.02,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,5.0,0.9,0.0,60.24,59.66,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,5.0,1.0,0.0,57.60999999999999,56.91,100.0
